week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
4,2014,9,14,3,2296,SD,JAX,1,AFC-WEST,AFC-SOUTH,75,3,1,1,short middle,8,Regular
4,2014,9,14,3,2257,SD,JAX,1,AFC-WEST,AFC-SOUTH,84,1,10,1,deep middle,0,Regular
4,2014,9,14,3,2251,SD,JAX,1,AFC-WEST,AFC-SOUTH,84,2,10,1,short left,9,Regular
4,2014,9,15,3,2163,JAX,SD,0,AFC-SOUTH,AFC-WEST,25,1,10,1,short right,8,Regular
4,2014,9,15,3,2135,JAX,SD,0,AFC-SOUTH,AFC-WEST,33,2,2,1,short left,-1,Regular
4,2014,9,15,3,2090,JAX,SD,0,AFC-SOUTH,AFC-WEST,32,3,3,1,short right,-2,Regular
4,2014,9,16,3,2043,SD,JAX,1,AFC-WEST,AFC-SOUTH,13,1,10,1,deep right,0,Regular
4,2014,9,16,3,2038,SD,JAX,1,AFC-WEST,AFC-SOUTH,13,2,10,0,center,5,Regular
4,2014,9,16,3,2001,SD,JAX,1,AFC-WEST,AFC-SOUTH,18,3,5,1,short right,21,Regular
4,2014,9,16,3,1962,SD,JAX,1,AFC-WEST,AFC-SOUTH,41,1,10,1,short right,0,Regular
4,2014,9,16,3,1931,SD,JAX,1,AFC-WEST,AFC-SOUTH,41,3,10,1,short left,16,Regular
4,2014,9,16,3,1896,SD,JAX,1,AFC-WEST,AFC-SOUTH,68,1,10,0,left tackle,1,Regular
4,2014,9,16,3,1863,SD,JAX,1,AFC-WEST,AFC-SOUTH,69,2,9,1,short right,3,Regular
4,2014,9,16,3,1826,SD,JAX,1,AFC-WEST,AFC-SOUTH,72,3,6,1,short left,10,Regular
4,2014,9,16,4,1791,SD,JAX,1,AFC-WEST,AFC-SOUTH,96,1,10,1,Sack,-4,Regular
4,2014,9,16,4,1758,SD,JAX,1,AFC-WEST,AFC-SOUTH,92,2,14,1,short right,11,Regular
